,index,STATION,DIVISION,DATETIME,HOUR,WEEKDAY,dow,UNIQUEID,ENTRYDIFF,EXITDIFF,TRAFFIC,DURATION,AVG_TRAFFIC
136,19642,JAY ST-METROTEC,BMT,2018-05-15 12:00:00,14,Tuesday,1,JAY ST-METROTEC_R089_C003_00-03-00,29.0,172.0,201.0,4.0,50.25
137,19643,JAY ST-METROTEC,BMT,2018-05-15 16:00:00,18,Tuesday,1,JAY ST-METROTEC_R089_C003_00-03-00,51.0,69.0,120.0,4.0,30.0
138,19644,JAY ST-METROTEC,BMT,2018-05-15 20:00:00,22,Tuesday,1,JAY ST-METROTEC_R089_C003_00-03-00,106.0,77.0,183.0,4.0,45.75
139,19645,JAY ST-METROTEC,BMT,2018-05-16 00:00:00,2,Wednesday,2,JAY ST-METROTEC_R089_C003_00-03-00,12.0,16.0,28.0,4.0,7.0
140,19647,JAY ST-METROTEC,BMT,2018-05-16 08:00:00,10,Wednesday,2,JAY ST-METROTEC_R089_C003_00-03-00,8.0,71.0,79.0,8.0,9.875
141,19648,JAY ST-METROTEC,BMT,2018-05-16 12:00:00,14,Wednesday,2,JAY ST-METROTEC_R089_C003_00-03-00,24.0,164.0,188.0,4.0,47.0
142,19649,JAY ST-METROTEC,BMT,2018-05-16 16:00:00,18,Wednesday,2,JAY ST-METROTEC_R089_C003_00-03-00,40.0,69.0,109.0,4.0,27.25
143,19650,JAY ST-METROTEC,BMT,2018-05-16 20:00:00,22,Wednesday,2,JAY ST-METROTEC_R089_C003_00-03-00,68.0,66.0,134.0,4.0,33.5
144,19651,JAY ST-METROTEC,BMT,2018-05-17 00:00:00,2,Thursday,3,JAY ST-METROTEC_R089_C003_00-03-00,18.0,13.0,31.0,4.0,7.75
145,19653,JAY ST-METROTEC,BMT,2018-05-17 08:00:00,10,Thursday,3,JAY ST-METROTEC_R089_C003_00-03-00,4.0,55.0,59.0,8.0,7.375
146,19654,JAY ST-METROTEC,BMT,2018-05-17 12:00:00,14,Thursday,3,JAY ST-METROTEC_R089_C003_00-03-00,14.0,182.0,196.0,4.0,49.0
147,19655,JAY ST-METROTEC,BMT,2018-05-17 16:00:00,18,Thursday,3,JAY ST-METROTEC_R089_C003_00-03-00,51.0,76.0,127.0,4.0,31.75
148,19656,JAY ST-METROTEC,BMT,2018-05-17 20:00:00,22,Thursday,3,JAY ST-METROTEC_R089_C003_00-03-00,58.0,76.0,134.0,4.0,33.5
149,19657,JAY ST-METROTEC,BMT,2018-05-18 00:00:00,2,Friday,4,JAY ST-METROTEC_R089_C003_00-03-00,23.0,22.0,45.0,4.0,11.25
